Date,all_stocks_Open,CAT_Open,CVX_Open,IBM_Open,JNJ_Open,JPM_Open,all_stocks_High,CAT_High,CVX_High,IBM_High,JNJ_High,JPM_High,all_stocks_Low,CAT_Low,CVX_Low,IBM_Low,JNJ_Low,JPM_Low,all_stocks_Close,CAT_Close,CVX_Close,IBM_Close,JNJ_Close,JPM_Close,all_stocks_Volume,CAT_Volume,CVX_Volume,IBM_Volume,JNJ_Volume,JPM_Volume
2015-07-06,155.0,86.09,97.45,163.99,98.43,67.89,156.43,86.25,97.66,165.61,99.02,68.39,153.83,82.73,94.48,162.12,96.64,66.54,155.08,83.15,94.77,164.73,98.2,67.33,2120626.0,4213215.0,7995357.5,3186091.0,7151071.75,15247955.0
2015-07-13,155.14,82.99,94.41,164.94,98.63,67.09,156.77,84.12,95.48,169.89,100.48,68.14,152.7,81.46,93.26,162.23,97.52,65.2,156.47,83.64,94.6,169.38,100.27,68.09,2343412.6,4362464.0,7614746.2,3858633.4,7048021.6,16729025.4
2015-07-20,156.49,83.53,94.4,169.43,99.26,67.98,157.94,84.89,95.79,173.78,101.36,69.95,155.9,82.14,92.59,168.0,98.55,67.76,157.12,82.25,92.94,173.22,100.37,69.26,2080098.2,3673667.4,6472790.0,4057472.6,7345239.4,16133191.2
2015-07-27,156.75,81.8,93.0,164.34,100.6,69.16,157.18,82.89,94.33,166.35,100.81,70.61,147.7,74.77,88.74,158.6,97.92,67.57,148.71,75.32,89.14,159.07,98.28,68.01,3507848.8,9645591.0,9046479.6,6690558.0,6577562.0,14140046.0
2015-08-03,148.85,75.92,89.45,159.91,98.89,68.55,152.81,79.04,93.81,162.06,100.98,69.45,148.32,75.79,85.32,157.9,98.42,67.77,150.12,77.26,85.6,158.71,100.02,68.53,2309983.8,9905376.4,12199938.6,3258001.8,6703545.6,12016227.4
2015-08-10,150.93,77.33,85.74,158.4,100.41,68.47,153.24,80.31,86.9,159.54,101.0,69.42,148.16,76.18,82.89,154.34,98.16,67.55,151.24,80.16,85.89,156.75,99.79,68.89,1716777.2,6581302.0,9072176.2,4029286.6,5945179.2,11436987.8
2015-08-17,150.0,78.73,84.38,155.96,99.05,68.23,150.0,79.12,87.11,156.69,99.88,68.4,146.07,76.92,83.11,153.95,97.41,66.07,149.24,78.54,83.23,156.31,99.87,68.07,1741809.2,6611266.4,10218383.2,2960265.8,6283441.2,13891272.4
2015-08-24,148.63,78.51,83.08,155.51,99.24,67.98,148.92,79.0,83.77,156.52,100.12,68.36,134.0,70.23,69.58,142.32,81.79,50.07,138.58,72.82,72.12,143.47,92.82,60.25,4043742.6,9044610.4,15245077.2,5513793.2,13464499.8,22147288.2
2015-08-31,141.86,75.22,74.93,146.94,95.69,63.1,144.95,76.77,81.2,148.97,96.4,64.73,137.39,72.03,69.84,140.62,90.4,59.73,142.14,76.44,80.99,147.89,93.98,64.1,3847925.4,7936839.8,19962408.0,5199243.8,11877262.0,24907160.6
2015-09-07,139.48,74.5,78.76,144.91,92.29,62.85,142.9,76.16,79.75,148.03,94.09,63.66,137.94,72.35,76.45,141.85,90.57,60.75,139.84,73.1,76.67,143.7,91.31,61.5,3183544.75,9420899.25,13901410.5,4322487.75,11486723.75,19568934.5
2015-09-14,142.05,74.58,77.53,145.86,93.09,62.77,145.35,75.2,78.2,149.04,95.16,64.34,139.77,71.88,74.31,144.51,91.62,61.45,140.81,72.77,75.77,145.65,93.32,62.38,2372409.2,5243940.0,10642441.4,3415673.2,8448033.0,13128018.2
2015-09-21,141.56,73.02,76.43,146.6,93.79,62.76,145.55,75.87,80.47,149.68,96.19,64.64,139.21,71.61,76.21,143.98,92.37,60.78,140.04,72.16,78.09,146.48,93.13,61.45,3315932.0,6942882.8,12625615.0,4233277.8,8379015.8,18206649.8
2015-09-28,138.27,71.12,76.84,144.62,92.26,60.6,140.12,71.81,78.16,146.27,93.7,61.86,135.39,62.99,75.1,141.95,89.9,59.46,138.38,63.79,75.77,142.52,91.37,59.98,3065137.2,11576520.8,10064052.8,3430154.4,9709277.4,15709472.0
2015-10-05,138.62,63.65,76.04,141.99,92.24,59.98,146.6,69.48,84.19,149.89,94.82,62.24,138.43,63.1,75.28,140.56,91.76,58.53,146.32,69.18,84.03,149.04,94.76,62.02,3412782.4,8782967.6,12152401.2,4108232.4,9915341.8,17704661.6
